Pos,FirstName,Surname,Laps,Time/Retired,PTS,Country,Day,Month,Year,Event
NC,Pierre,Gasly,1,DNF,0,Styria,27,Jun,2021,Race result
NC,Fernando,Alonso,49,DNF,0,United States,24,Oct,2021,Race result
NC,Max,Verstappen,25,DNF,0,Italy,12,Sep,2021,Race result
NC,Max,Verstappen,0,DNF,0,Great Britain,18,Jul,2021,Race result
NC,Esteban,Ocon,0,DNF,0,Austria,4,Jul,2021,Race result
NC,George,Russell,36,DNF,0,Styria,27,Jun,2021,Race result
NC,Yuki,Tsunoda,6,DNF,0,Spain,9,May,2021,Race result
NC,Yuki,Tsunoda,0,DNS,0,Italy,12,Sep,2021,Race result
NC,Valtteri,Bottas,30,DNF,0,Emilia Romagna,18,Apr,2021,Race result
NC,Nikita,Mazepin,3,DNF,0,Hungary,1,aug.,2021,Race result
NC,Valtteri,Bottas,0,DNF,0,Hungary,1,aug.,2021,Race result
NC,Yuki,Tsunoda,48,DNF,0,Netherlands,5,Sep,2021,Race result
NC,Nikita,Mazepin,0,DNF,0,Bahrain,28,Mar,2021,Race result
NC,Mick,Schumacher,32,DNF,0,Russia,26,Sep,2021,Race result
NC,Kimi,Räikkönen,1,DNF,0,Portugal,2,May,2021,Race result
NC,Lando,Norris,2,DNF,0,Hungary,1,aug.,2021,Race result
NC,Valtteri,Bottas,29,DNF,0,Monaco,23,May,2021,Race result
NC,Lance,Stroll,29,DNF,0,Azerbaijan,6,Jun,2021,Race result
NC,Nicholas,Latifi,0,DNF,0,Emilia Romagna,18,Apr,2021,Race result
NC,Fernando,Alonso,32,DNF,0,Bahrain,28,Mar,2021,Race result
NC,Esteban,Ocon,3,DNF,0,Azerbaijan,6,Jun,2021,Race result
NC,Charles,Leclerc,0,DNS,0,Monaco,23,May,2021,Race result
NC,George,Russell,30,DNF,0,Emilia Romagna,18,Apr,2021,Race result
NC,Lance,Stroll,0,DNF,0,Hungary,1,aug.,2021,Race result
NC,Lewis,Hamilton,25,DNF,0,Italy,12,Sep,2021,Race result
NC,Charles,Leclerc,0,DNF,0,Hungary,1,aug.,2021,Race result
NC,Esteban,Ocon,40,DNF,0,United States,24,Oct,2021,Race result
NC,Pierre,Gasly,14,DNF,0,United States,24,Oct,2021,Race result
NC,Sergio,Perez,0,DNF,0,Hungary,1,aug.,2021,Race result
NC,Sebastian,Vettel,40,DNF,0,Great Britain,18,Jul,2021,Race result
NC,Nikita,Mazepin,41,DNF,0,Italy,12,Sep,2021,Race result
NC,Pierre,Gasly,3,DNF,0,Italy,12,Sep,2021,Race result
NC,Nikita,Mazepin,41,DNF,0,Netherlands,5,Sep,2021,Race result
NC,Lance,Stroll,0,DNF,0,Russia,27,Sep,2020,Race result
NC,Kevin,Magnussen,43,DNF,0,70th Anniversary,9,aug.,2020,Race result
NC,Carlos,Sainz,0,DNS,0,Belgium,30,aug.,2020,Race result
NC,George,Russell,49,DNF,0,Austria,5,Jul,2020,Race result
NC,Kevin,Magnussen,24,DNF,0,Austria,5,Jul,2020,Race result
NC,Charles,Leclerc,4,DNF,0,Styria,12,Jul,2020,Race result
NC,Nicholas,Latifi,39,DNF,0,Turkey,15,nov.,2020,Race result
NC,Romain,Grosjean,49,DNF,0,Turkey,15,nov.,2020,Race result
NC,George,Russell,9,DNF,0,Belgium,30,aug.,2020,Race result
NC,Romain,Grosjean,49,DNF,0,Austria,5,Jul,2020,Race result
NC,Kimi,Räikkönen,53,DNF,0,Austria,5,Jul,2020,Race result
NC,Nico,Hulkenberg,0,DNS,0,Great Britain,2,aug.,2020,Race result
NC,Lance,Stroll,20,DNF,0,Austria,5,Jul,2020,Race result
